policy,terrain,forward_velocity_mean,forward_velocity_std,fall_rate,cost_of_transport,foot_contact_variance,base_height_variance
A_rigid,T0_rigid,0.23278356281061233,0.001518259196378851,0.0,1.634649585259006,0.47654677000000006,0.0001000307594653203
A_rigid,T1_firm,0.21863958688784849,0.061485250369081285,0.13,2.0500934694909208,0.1538732609675658,0.00013751388647357187
A_rigid,T2,0.2231991697393685,0.02039798749172856,0.04,2.177188621148983,0.17766812894201447,0.00011658467676417192
A_rigid,T3,0.25281490048216215,0.001672429362295498,0.0,1.6901753056931264,0.29763924,0.00012877014367526095
A_rigid,T4,0.2870920413160797,0.013201508703726496,0.01,1.9189534358632796,0.5968672772139986,0.00014114958170929664
A_rigid,T5,0.22830768460730597,0.031694418129237414,1.0,2.944991660316358,0.7607264788560749,0.00036375510938261446
A_rigid,T6_train_edge,0.20311334254028132,0.03826873273748122,1.0,3.489463329900607,0.7605527374664831,0.0004824452176678392
A_rigid,T7_extrap,0.17585311497898184,0.06410900564043366,1.0,4.652296363621373,0.6455659550554043,0.0007908301260726729
A_rigid,T8_extrap,0.161404962458487,0.05458260809512944,1.0,5.172905880190976,0.5804491151793294,0.0012669017676736557
A_rigid,T9_extrap_soft,0.12746877585816804,0.0912981168159512,1.0,8.075418655666539,0.6402473043234626,0.0018668503529991481
B_compliance,T0_rigid,0.11595342987740635,0.0006272355629434388,0.0,1.3689452181915605,0.25960905,2.7428234369606536e-05
B_compliance,T1_firm,0.12105812478992732,0.0007918641407432915,0.0,1.3015778176898691,0.72504847,2.2898969380447044e-05
B_compliance,T2,0.11531564617530911,0.0007463601076098677,0.0,1.4590601095663835,0.65297713,2.3987863781420566e-05
B_compliance,T3,0.1026888245664756,0.0008686699311266249,0.0,1.9002157436503069,0.63576034,3.5655690631603715e-05
B_compliance,T4,0.1028997435640391,0.0010631047877625393,0.0,2.129057162723487,0.24197227,3.2017121766107494e-05
B_compliance,T5,0.09665145876190294,0.0019494564460819912,0.0,2.816886947368772,0.13512059,6.677475642236784e-05
B_compliance,T6_train_edge,0.07104593341473465,0.0006777309498149124,0.0,4.056176940599023,0.13641352,6.061732530329961e-05
B_compliance,T7_extrap,0.071758205965217,0.031448287641818604,1.0,6.219046533345605,0.448202798722965,0.0007053555597545441
B_compliance,T8_extrap,0.08926590637009578,0.042488027106172235,1.0,8.33965185411142,0.7096887191304809,0.0017323541797248476
B_compliance,T9_extrap_soft,0.0733601754648072,0.03893570275040768,1.0,10.300782247454404,0.6535698925671954,0.0017411618893662215
