recipe,seed,run_name,terrain_level_final2M,ep_len_final2M
B_baseline,0,policy_b,2.79,924
B_baseline,1,policy_b_s1,2.02,661
B_baseline,2,policy_b_s2,2.16,660
B_baseline,3,policy_b_s3,2.6,847
B_baseline,4,policy_b_s4,2.48,651
B_baseline,5,policy_b_s5,2.76,870
B_baseline,6,policy_b_s6,2.84,905
B_baseline,7,policy_b_s7,1.23,971
Bp_noh,0,policy_b_noh,2.52,958
Bp_noh,1,policy_b_noh_s1,0.77,943
Bp_noh,2,policy_b_noh_s2,2.78,891
Bp_noh,3,policy_b_noh_s3,2.88,924
Bp_noh,4,policy_b_noh_s4,2.73,850
Bp_noh,5,policy_b_noh_s5,2.45,856
Bp_noh,6,policy_b_noh_s6,2.4,981
Bp_noh,7,policy_b_noh_s7,2.91,935
Cur_gated,0,policy_b_fix_s0,2.02,655
Cur_gated,1,policy_b_fix_s1,2.83,898
Cur_gated,2,policy_b_fix_s2,1.34,948
Entropy,0,policy_b_ent_s0,0.57,1000
Entropy,1,policy_b_ent_s1,2.58,914
Entropy,2,policy_b_ent_s2,2.52,786
