seed,terrain,command,fall_rate,velocity
0,T5,0.1,0.0,0.0034020690498930985
0,T5,0.15,0.0,0.022033736399175927
0,T5,0.2,0.0,0.09641777394273529
0,T6_train_edge,0.1,1.0,0.05527036981016721
0,T6_train_edge,0.15,1.0,0.03182667495570725
0,T6_train_edge,0.2,0.0,0.07097339531841568
1,T5,0.1,0.28,-0.011080721415604964
1,T5,0.15,0.81,0.08063178997824746
1,T5,0.2,0.98,0.11732235488542271
1,T6_train_edge,0.1,0.5,0.006906689674702497
1,T6_train_edge,0.15,0.93,0.07520840352149501
1,T6_train_edge,0.2,1.0,0.10505010816244732
2,T5,0.1,0.0,0.010442799889034625
2,T5,0.15,1.0,0.08519384322789342
2,T5,0.2,1.0,0.10698222062988995
2,T6_train_edge,0.1,0.0,0.008969446585479057
2,T6_train_edge,0.15,1.0,0.0727895199081705
2,T6_train_edge,0.2,1.0,0.10645194707436806
3,T5,0.1,0.0,0.06923292301156865
3,T5,0.15,0.01,0.15013665962051323
3,T5,0.2,0.0,0.1594689970618631
3,T6_train_edge,0.1,1.0,0.034396855492366776
3,T6_train_edge,0.15,0.0,0.11301216758002579
3,T6_train_edge,0.2,0.0,0.15463843410006872
4,T5,0.1,0.0,0.07457112024254657
4,T5,0.15,0.01,0.12402022507036435
4,T5,0.2,0.31,0.16972015549110592
4,T6_train_edge,0.1,0.09,0.05965245500541065
4,T6_train_edge,0.15,0.56,0.10942403567896786
4,T6_train_edge,0.2,0.74,0.11604235154878831
5,T5,0.1,0.0,0.04888926247398279
5,T5,0.15,0.0,0.15778642272036114
5,T5,0.2,0.0,0.12833780849115575
5,T6_train_edge,0.1,0.0,0.031467591462053586
5,T6_train_edge,0.15,0.0,0.07079490695061336
5,T6_train_edge,0.2,0.0,0.1156562761124097
6,T5,0.1,0.0,0.05334738769296531
6,T5,0.15,0.0,0.025949871856969748
6,T5,0.2,0.0,0.11935853515747759
6,T6_train_edge,0.1,0.82,0.016586488553494295
6,T6_train_edge,0.15,0.0,0.029077247784305524
6,T6_train_edge,0.2,0.0,0.09835042164152301
7,T5,0.1,0.0,0.0011180297054900826
7,T5,0.15,0.0,-0.002118546526787218
7,T5,0.2,0.0,0.023613998027963056
7,T6_train_edge,0.1,1.0,0.008438826971319268
7,T6_train_edge,0.15,0.0,0.001097563580178763
7,T6_train_edge,0.2,0.0,0.05773660934744063
